umn_plantID,common_name,scientific_name,height,spread,form,seasonal_interest,seasonal_interest_specific,flower_color,landscape_use,light,zone,soil,notes
1083,Little Princess Spirea,Spiraea japonica,2.5 ft,3 ft,Rounded, ,Summer pink flowers; dark red fall color,Pink,Border; Pollinator garden,Full sun; Part sun,"4, 5, 6, 7, 8", ,Similar to Daphne Spirea. Good for pollinators.
2208,Little Rocket Ligularia,Ligularia,20 in,24 in,Mound,Mid-summer; Late summer,Conical spikes of yellow flowers emerge on long stalks mid summer. Heart-shaped green leaves form an attractive mound all growing season.,Yellow, ,Full sun; Part sun,"4, 5, 6, 7, 8, 9", ,A dwarf cultivar with large bright yellow conical flower heads atop long-stemmed heart-shaped green leaves. Prefers partial shade and cool moist locations.
2437,Little Spire Russian Sage,Perovskia,24 in,24 in,Upright;     Open;     Clump,Late summer,Silvery foliage and lavender-blue flowers,Lavender, ,Full sun,"4, 5, 6, 7, 8, 9", ,Introduction by FuturePlants in the Netherlands. Selected for its dwarf  upright habit. Doesn't flop or lean. Blooms late summer through autumn.
2323,Little Titch Catmint,Nepeta racemosa,10 in,15 in,Mound,Early summer;      Late summer;      Mid-summer,Sweetly scented grey green foliage., ,Border;      Boulevard planting;      Pollinator garden,Full sun;      Part sun,"4, 5, 6, 7, 8", ,The smallest nepeta yet. Discovered at Four Seasons Perennials in Great Britain. Good for pollinators.
1868,Little Wine Cups Daylily,Hemerocallis,15 in,12 in,Upright;     Mound,Early summer,Flowers are cherry red with yellow throats,Red,Border;      Boulevard planting,Full sun;      Part sun,"3, 4, 5, 6, 7, 8",Adaptable,Divide in Late summer or fall.
1218,Littleleaf Linden,Tilia cordata,45 ft,40 ft,Pyramidal, ,Summer yellow/white flowers;  fragrant foliage; fall yellow-green foliage, ,Pollinator garden; Shade tree; Street tree,Full sun,"4, 5, 6, 7",Adaptable; Prefers evenly-moist; Tolerates alkaline,Great street and residential tree. Good for pollinators.
2622,Lizard's Tail,Saurus cernuus,24 in,24 in,Clump;     Upright,Early fall;     Early summer;     Late summer;     Mid-summer,Unique fragrant flowers and seedheads,White,Natural planting;     Raingarden;     Water garden,Full sun;     Part sun,"3, 4, 5, 6, 7, 8, 9", ,Showy flowers. Fragrant flowers and leaves. Will naturalize if allowed. Recommend planting in submerged basket in water gardens.
2235,Lobelia,Lobelia erinus compacta,6 in,12 in,Mound,Early summer;     Late summer;     Mid-summer,Delicate flowers when summer temperatures are cool,Blue;  Purple;  White,Border;     Container;     Pollinator garden,Full sun;     Part sun,Annual,Prefers evenly-moist,If plants become leggy or overgrown shear back for new growth. Series: Laguna Riviera. Good for pollinators.
525,Lodense Privet,Ligustrum vulgare,5 ft,5 ft,Rounded,Early summer;      Late summer;      Mid-summer,June white flowers. Winter injury likely.,White,Hedge,Full sun,"4, 5, 6, 7, 8",Adaptable, 
623,Lollipop¨ Crabapple,Malus,10 ft,10 ft,Rounded,Fall;      Spring,Prolific white flowers in spring followed by small yellow fruit in autumn.,White,Attract wildlife;      Boulevard planting;      Pollinator garden,Full sun,"4, 5, 6, 7",Prefers acidic;      Prefers well-drained,Introduced by Lake County Nursery. Excellent choice for formal gardens and courtyards. Good for pollinators. Blooms on old wood.
775,Lombardy Poplar,Populus nigra,60 ft,10 ft,Columnar;     Upright,Fall,Fall yellow foliage, ,Screen;      Windbreak,Full sun,"3, 4, 5, 6",Prefers evenly-moist,Short lived plant. Shallow and aggressive roots. Do not plant near pavement where shallow roots can cause damage. Not good for street use or under utility lines.
788,Longacre Potentilla,Potentilla fruticosa,3 ft,4 ft,Rounded, ,Yellow flowers begin blooming late spring and persist into fall.,Yellow,Border; Foundation planting; Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7",Adaptable; Tolerates alkaline; Tolerates dry; Tolerates pollution,Good for pollinators. Blooms on old and new wood.
2372,Longfellow Peony,Paeonia,36 in,30 in,Rounded,Early summer,Large;  double flowers with yellow stamens visible near the center. Strong stems. Semi-dwarf height.,Red, ,Full sun,"3, 4, 5, 6, 7",Prefers evenly-moist,Large double bright crimson flowers with yellow stamens visible near the center. Strong stems. Semi-dwarf height.
2439,Longin Russian Sage,Perovskia,36 in,30 in,Upright;     Open;     Clump,Late summer;      Mid-summer,Small gray-green leaves with purple-blue flowers on upright panicles.,Blue;  Purple,Border;      Cutting;      Pollinator garden,Full sun,"4, 5, 6, 7, 8",Adaptable, 
1069,Longwood Sunset Mountainash,Sorbus rufo-ferruginea,30 ft,30 ft,Rounded,Fall,Fall burgundy foliage;  orange berries, ,Attract wildlife;      Street tree,Full sun,"4, 5, 6, 7",Prefers acidic;      Prefers well-drained, 
1542,Looking Glass Siberian Bugloss,Brunnera macrophylla,15 in,24 in,Mound,Late spring; Early summer,Silver heart-shaped foliage with green veination. Clusters of tiny blue flowers bloom above foliage in spring.,Blue,Border; Natural planting,Full shade; Part shade; Part sun,"3, 4, 5, 6, 7, 8",Adaptable; Prefers evenly-moist; Tolerates dry,A sport of 'Jack Frost'; foliage is almost solid silver with green veination. Spring flowers resemble forget-me-nots. Can be planted under trees; will tolerate dry
1858,Loraine Sunshine Sunflower,Heliopsis,30 in,24 in,Upright,Early summer;      Late summer;      Mid-summer,Variegated green/cream leaves and golden yellow flowers,Gold;  Yellow,Border;      Prairie planting;     Pollinator garden;     Butterfly garden,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9", ,Nectar source for adult monarchs.
2378,Lotus Queen Peony,Paeonia,30 in,30 in,Rounded,Late spring,Blooms are white outside with sulfur yellow inside,White;  Yellow,Border,Full sun,"4, 5, 6, 7",Prefers loam, 
614,Louisa Crabapple,Malus,15 ft,15 ft,Weeping, ,Large pink flowers emerge in spring. Golden yellow fruit forms in fall and blushes slightly in cold weather. Fruit persists on tree through winter.,Pink,Attract wildlife; Boulevard planting; Pollinator garden,Full sun,"4, 5, 6, 7",Prefers acidic; Prefers well-drained,Unique weeping form. Good for pollinators. Blooms on old wood.
282,Louise Rowe Clematis,Clematis,8 ft,3 ft,Climbing;     Twining,Summer;     Fall, , ,Focal point;      Fragrance;      Screen,Full sun;      Part sun,"4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,Pale blue 5-6' flowers fade to white. Produced semi-double and single blossoms.
1749,Love Grass,Eragrostis elliotii,36 in,36 in,Upright,Early summer;     Late summer;     Mid-summer,Narrow bluish-green foliage with airy seedheads, , ,Full sun,Annual, , 
2018,Love Pat Hosta,Hosta,20 in,36 in,Mound,Early summer,Rounded;  cupped;  textured blue-green leaves,White,Border;      Boulevard planting,Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist,Tokudama-type; foliage is blue thick cupped and crinkly.  Very slug resistant. Will retain blue color best in full shade. Flowers in mid-summer.
1373,Love-lies-bleeding,Amaranthus caudatus,24-48 in,24 in,Trailing; Weeping,Early summer; Mid-summer; Late summer,Most varieties grown for red;  yellow;  green;  and gold leaves. Some also have rusty-red;  drooping;  tassel flowers.,Red,Border; Container; Drying,Full sun,Annual,Adaptable; Prefers dry; Tolerates poor,Foliage and flower colors are more brilliant in poor
2087,Loyalist Hosta,Hosta,18 in,24 in,Mound,Early summer;      Late summer;      Mid-summer,Leaves have deep green margins and pure white centers; lavender flowers,Lavender,Border;      Boulevard planting,Part sun,"3, 4, 5, 6, 7, 8, 9", , 
1142,Ludwig Spaeth Lilac,Syringa vulgaris,12 ft,8 ft,Upright, ,Single reddish-purple fragrant spring flowers.,Purple,Border; Pollinator garden,Full sun,"3, 4, 5, 6, 7",Prefers well-drained; Tolerates alkaline,Developed in 1883. One of the best purple lilacs available. Good for pollinators.
857,Luscious Pear,Pyrus,20 ft,15 ft, , ,Juicy;  sweet;  medium to small bright yellow fruit. Glossy green foliage;  red fall color.,White,Edible landscape; Fruit; Pollinator garden,Full sun,"4, 5, 6, 7, 8", ,SDSU introduction 1973 (South Dakota E31 x Ewart).  Pollen-sterile - can not be used to pollinate a second pear tree. Parker is a good pollinator.
1696,Luxuriant Bleeding Heart,Dicentra,15 in,18 in,Clump,Early summer;      Late spring;      Late summer,Fern-like lacy foliage,Pink;  Red,Border,Part sun,"4, 5, 6, 7, 8",Prefers evenly-moist, 
398,Maacki Burning Bush,Euonymus hamiltonianus var. maacki,15 ft,15 ft,Rounded,Fall;      Summer,Pink fruits and red seeds in late summer., ,Border,Full sun;      Part sun,"3, 4, 5, 6", , 
659,Macho Amur Corktree,Phellodendron amurense,60 ft,40 ft,Rounded,Fall;      Winter,Fall yellow foliage; winter interesting;  furrowed bark, ,Shade tree,Full sun,"4, 5",Tolerates alkaline;      Tolerates dry,A male selection with ascending branches without fruit and subsequent volunteer seedlings. Requires frequent pruning when young to remove branches with included bark. Restrict use to the Hardwood Hills because of cold hardiness. Used for street use but not under utility lines.
753,Macopin Eastern White Pine,Pinus strobus,3 ft,3 ft,Upright,Summer;     Spring;     Winter,Dwarf selection. Soft blue-green feathery needles., , ,Full sun,"3, 4, 5, 6, 7, 8", ,Blue-green silvery soft needles. Light brown cones.
563,Macoun Apple,Malus,14 ft,10 ft, ,Spring; Fall,Aromatic;  medium sized;  dark purple-red fruit with white flesh. Crisp texture;  well-balanced flavor - good for eating.,White,Edible landscape; Fruit; Pollinator garden,Full sun,"4, 5, 6, 7",Prefers acidic; Prefers well-drained,(McIntosh x Jersey Black) New York  1923.  Fruit tends to drop when ripe. Good for pollinators. Blooms on old wood.
292,Macropetala Clematis,Clematis macropetala,12 ft,3 ft,Climbing;     Twining,Spring, ,Lilac, ,Full sun;      Part sun,"4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,"Flowers are 2""  blue lantern-like  free flowering  attractive seed heads."
311,Madame Julia Correvon Clematis,Clematis viticella,14 ft,3 ft,Climbing;     Twining,Summer;     Fall, ,Red,Focal point;      Fragrance;      Screen,Full sun;      Part sun,"2, 3, 4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,"Flowers are true red  semi-campanulate  4"". Vigorous grower  flowering most of the summer."
1057,Madonna Elder,Sambucus nigra,10 ft,10 ft,Rounded;      Upright,Summer,Variegated yellow and green foliage; large 6-10 inch white flowers in spring,White,Border;      Natural planting;      Pollinator garden,Full sun;      Part sun,"4, 5, 6, 7", ,Good for pollinators.
601,Madonna¨ Crabapple,Malus,20 ft,10 ft,Compact; Upright, ,Spring large fragrant double white flowers followed by gold to red fruit; new foliage is bronze turning green at maturity.,White,Boulevard planting; Pollinator garden; Street tree,Full sun,"4, 5, 6, 7",Prefers acidic; Prefers well-drained,Compact form; good choice for streets or urban landscapes. Blooms early and flowers last longer than many other varieties. Good for pollinators. Blooms on old wood.
1118,Magic Berry Coralberry,Symphoricarpos xdoorenbosii,5 ft,5 ft,Rounded, ,Masses of pink berries in fall,White,Foundation planting; Natural planting; Pollinator garden,Full sun; Part sun,"4, 5, 6, 7, 8, 9", ,Good for pollinators.
2483,Magic Blue Phlox,Phlox paniculata,42 in,24 in,Upright,Early summer; Mid-summer; Late summer,Flowers open solid lavender pink with light eye;  then mature to pale petals with darker eye,Lavender; Pink,Border; Butterfly garden; Fragrance; Pollinator garden,Full sun,"4, 5, 6, 7, 8, 9", ,Nectar source for adult butterflies.
1080,Magic Carpet Spirea,Spiraea japonica,1.5 ft,2 ft,Rounded,Summer,Red spring shoots become bronze red-tipped foliage; deep pink flowers in summer,Pink,Border;      Pollinator garden,Full sun,"3, 4, 5, 6, 7, 8", ,2000 Michigan Growers  Choice Award Winner. Good for pollinators.
1660,Magic Fountains Delphinium,Delphinium,36 in,30 in,Upright,Late summer;      Mid-summer, ,Blue;  Lavender;  Red;  White,Border;      Cutting;      Pollinator garden,Full sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist,Series: Magic Fountains. Good for pollinators.
2336,Magical Michael Basil,Ocimum basilicum,18 in,12 in,Upright,Early summer;     Late summer;     Mid-summer,More decoration than culinary.,White,Edible landscape;     Pollinator garden,Full sun,Annual, ,Use flowers as garnishes and salads and leaves for pesto and sauces. Fragrant and drying. Good for pollinators.
960,Magnifica Rose,Rosa rugosa,6 ft,6 ft,Rounded,Summer,Fragrant double flowers - repeated bloomer, ,Border;      Foundation planting;      Fragrance;      Pollinator garden,Full sun,"4, 5, 6, 7",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,Own root. (aka Rugosa Magnifica) Hybridized by Van Fleet; Year of Registration or Introduction: 1905. Good for pollinators.
1724,Magnus Purple Coneflower,Echinacea purpurea,36 in,18 in,Clump;      Upright,Late summer, ,Pink;  Purple,Border;      Cutting;      Natural planting;      Pollinator garden;     Butterfly garden,Full sun,"3, 4, 5, 6, 7, 8, 9",Adaptable,Divide every 4 years; self-seeds. Good for pollinators. Nectar source for adult monarchs.
412,Magyar Ginkgo,Ginkgo biloba,70 ft,40 ft,Upright, ,Green foliage turns yellow in fall., , ,Full sun,"4, 5, 6, 7, 8",Adaptable; Tolerates pollution; Tolerates salt,Male selection good for urban areas; heat tolerant.
2304,Mahogany Bee Balm,Monarda didyma,30 in,24 in,Upright,Late summer;      Mid-summer,Aromatic foliage;  dark red flowers,Red,Attract wildlife;      Border;      Boulevard planting;      Fragrance;      Natural planting;      Pollinator garden;     Edible;     Attract hummingbirds,Full sun,"4, 5, 6, 7, 8",Prefers evenly-moist,Deadheading extends bloom season. Good for making tea.
2282,Maiden Grass,Miscanthus sinensis,72 in,36 in,Upright,Early fall;     Late summer;     Winter,October flowers,Red,Border,Full sun,"5, 6, 7, 8, 9",Adaptable,Cut back in spring before new growth emerges; can overwinter in Zone 4 with protection.
1341,Maidenhair Fern,Adiantum pedatum,20 in,18 in,Mound; Open,Early summer; Mid-summer; Late summer, , ,Border; Native; Natural planting; Shade garden; Woodland garden,Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist; Prefers loam,Lacy green circular fronds with shiny
1439,Maidenhair Spleenwort,Asplenium trichomanes subsp. trichomanes,6 in,6 in,Mound,Early summer; Mid-summer; Late summer,Small rock loving fern with once-cut fronds vs greatly dissected fronds, , ,Part sun,"3, 4, 5, 6, 7",Prefers acidic; Prefers well-drained,Generally viewed as growing in undisturbed places
1174,Maiden's Blush Lilac,Syringa xhyacinthiflora,6 ft,6 ft,Upright, ,Single pink fragrant spring flowers,Pink,Border; Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7", ,Introduced in 1966 by F. L. Skinner. Good for pollinators.
2550,Majeste Lungwort,Pulmonaria,12 in,15 in,Mound,Late spring; Early summer,Silver gray leaves with narrow green margin; blue-pink flowers,Blue; Pink,Border,Part sun,"3, 4, 5, 6, 7, 8, 9", , 
52,Majesty¨ Sugar Maple,Acer saccharum,75 ft,60 ft,Oval,Fall,Red-orange fall foliage., ,Pollinator garden; Shade tree,Full sun,"4, 5, 6, 7", ,Found at Flax Mill Nursery in Cambridge  NewYork. Majesty¨ is characterized by a symmetrical oval head at an early age  a straight leader  abundant branching structure  and vigorous  hardy growth habit. It also shows resistance to frost crack and sun scald. Good for pollinators.
2278,Malepartus Feather Grass,Miscanthus sinensis,60 in,36 in,Upright,Early fall;      Late summer;      Winter,Green foliage during summer;  turning yellow-orange in fall.  Silvery flower plumes persist into winter.,Red,Border;      Drying,Full sun,"4, 5, 6, 7, 8",Adaptable,Does best in Full sun.  Cut back in spring before new growth emerges.
2250,Maltese cross,Lychnis chalcedonica,30 in,18 in,Upright,Late spring; Early summer, ,Orange; Red,Border; Cutting,Full sun,"4, 5, 6, 7, 8", ,May require staking
831,Manchurian Apricot,Prunus mandshurica,18 ft,24 ft,Rounded, ,Primarily used as understock for other apricot varieties., ,Attract wildlife;  Edible landscape;  Fruit;  Pollinator garden,Full sun,"3, 4, 5, 6", ,Good for pollinators.
1254,Manchurian Viburnum,Viburnum burejaeticum,15 ft,15 ft,Rounded; Upright, ,Showy creamy white flowers in spring followed by bluish black summer fruits,Cream,Border,Full sun; Part sun,"3, 4, 5, 6, 7",Tolerates alkaline, 
529,Mandarin Honeysuckle,Lonicera,20 ft,3 ft,Twining,Spring;     Summer,Large clusters of yellow centered;  bright orange trumpet-shaped flowers. The leaves emerge in spring a coppery-brown and mature to a glossy dark green.,Orange, ,Full sun;      Part sun,"3, 4, 5, 6, 7, 8", ,University of British Columbia breeding program. Blooms on old wood.
884,Mandarin Lights Azalea,Rhododendron,5 ft,5 ft,Rounded;      Upright,Spring,Mandarin orange blossoms in early spring; bronze fall foliage.,Orange,Border,Full sun;      Part sun,"4, 5, 6, 7", ,Introduced by the University of Minnesota. UMN Release 1992.
2411,Mandarin Oriental Poppy,Papaver orientalis,22 in,24 in,Upright;     Mound;     Clump,Late spring,Bright flowers with a dark basal blotch,Orange,Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7, 8, 9", ,Bright orange flowers with a dark basal blotch. Short and compact with strong stems. Good for pollinators.
2262,Mandevilla,Mandevilla spendens,24 in,120 in,Twining,Early summer;     Mid-summer;     Late summer,Trumpet-shaped flower. Dark green to light green leathery foliage.,Red;  White;  Pink;  Yellow;,Container;     Attract hummingbirds,Full sun,Annual,Prefers well-drained,Can tolerate short periods of drought. Fertilize throught growing season. May be overwintered indoors.
472,Maney Juniper,Juniperus chinensis,7 ft,7 ft,Upright, ,Blue-green foliage and silvery blue fruit all year., ,Foundation planting,Full sun,"3, 4, 5, 6, 7, 8",Adaptable; Prefers well-drained; Tolerates alkaline; Tolerates dry,Very hardy.
797,Mango Tango  Potentilla,Potentilla fruticosa,3 ft,3 ft,Rounded,Summer,Bicolor red and orange/yellow flowers; red color intensifies during cooler weather,Yellow,Border;      Pollinator garden,Full sun,"2, 3, 4, 5, 6, 7", ,Introduced by the University of Manitoba. Good for pollinators.
2007,Maple Sugar Hibiscus,Hibiscus acetosella,36 in,24 in,Upright,Late summer,Black purple maple leaf shaped foliage- infrequent flowers,Red,Border;     Container,Full sun;     Part sun,Annual,Tolerates dry, 
1253,Mapleleaf Viburnum,Viburnum acerifolium,6 ft,5 ft,Rounded; Upright, ,Large clusters of shiny scarlet-red fruit and creamy white flowers,White,Natural planting,Full sun; Part sun,"4, 5, 6, 7, 8",Tolerates alkaline, 
2198,Marconi Daisy,Leucanthemum x superbum,36 in,18 in,Upright,Early summer;      Mid-summer;      Late summer,Semi-double white flowers with yellow centers,White,Border;      Cutting,Full sun,"4, 5, 6, 7, 8",Prefers well-drained, 
1603,Marconi Shasta Daisy,Chrysanthemum x superbum,36 in,24 in,Upright,Mid-summer,Flowers white with yellow center,White;  Yellow,Border;      Cutting,Full sun,"4, 5, 6, 7, 8",Adaptable, 
2602,Marcus Perennial Salvia,Salvia nemorosa,8 in,10 in,Upright,Early summer,Fragrant flower clusters starting in June,Blue;  Purple,Border;      Container;      Pollinator garden;      Rock garden,Full sun,"3, 4, 5, 6, 7, 8", ,Seedling of 'East Friesland' discovered by German perennial grower Marcus Hausserman - if deadheaded will rebloom throughout the growing season. Good for pollinators.
1846,Mardi Gras Helenium,Helenium x,36 in,24 in,Upright,Early summer;     Mid-summer;     Late summer,Multi-colored yellow petals splashed orange-red around a dark brown daisy center.,Orange,Raingarden;     Pollinator garden;     Border;     Prairie planting;     Natural planting,Full sun,"4, 5, 6, 7, 8", , 
1924,Mardi Gras Parade Daylily,Hemerocallis,25 in,18 in,Upright;     Mound,Early summer;      Late summer;      Mid-summer,Lightly ruffled rose-lavender blossoms with double wine eye and green throat,Lavender;  Pink;  Rose,Border;      Boulevard planting,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9", , 
2545,Margery Fish Lungwort,Pulmonaria,12 in,12 in,Mound,Late spring;      Early summer,Green-blue foliage with silvery-gray patches and pink flowers,Pink,Border,Part sun;      Part shade;      Full shade,"3, 4, 5, 6, 7, 8",Prefers evenly-moist;      Prefers well-drained, 
1414,Marguerite Daisy,Argyranthemum frutescens syn. Chrysanthemum frutescens,14 in,12 in,Upright,Early summer;     Mid-summer;     Late summer,Small green lacy leaves,White;  Yellow;  Pink,Border;     Cutting;     Container,Full sun,Annual, , 
275,Marie Boisselot Clematis,Clematis,14 ft,3 ft,Climbing;     Twining,Summer;     Fall, ,White,Focal point;      Fragrance;      Screen,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,Flowers are large  pure white with yellow anthers. A seedling of 'The President'.
944,Marie Bugnet Rose,Rosa,3 ft,3 ft,Rounded,Summer,Fragrand double - no hips,White,Border;      Foundation planting;      Fragrance;      Pollinator garden,Full sun,"3, 4, 5, 6, 7",Prefers well-drained;     Prefers evenly-moist;     Prefers high organic matter,"Own root. From our pioneer rose breeder George Bugnet (pronounced ""boo-nay"" not bug-net.) Lesser known than its sister Therese Bugnet. Good for pollinators."
1149,Marie Frances Lilac,Syringa vulgaris,8 ft,6 ft,Upright, ,Single pink fragrant spring flowers.,Pink,Border; Pollinator garden,Full sun,"3, 4, 5, 6, 7",Prefers well-drained; Tolerates alkaline,A Father Fiala introduction named in honor of his sister. Good for pollinators.
1982,Marmalade Coral Bells,Heuchera,18 in,18 in,Clump;     Mound,Early summer;      Mid-summer;      Late summer, , ,Border, ,"4, 5, 6, 7", , 
69,Marmo Maple,Acer x freemanii,70 ft,35 ft,Oval; Upright, ,Fall color is mottled red;  green;  burgundy;  yellow and gold depending on site and temperatures, ,Pollinator garden; Shade tree,Full sun,"4, 5, 6, 7", ,A selection from the Morton Arboretum. A vigorous grower  with a strong central leader  excellent branching and a uniform  upright habit. Good for pollinators.
1556,Marsh Marigold,Caltha palustris,12 in,12 in,Mound,Mid-spring, ,Gold,Border; Native; Natural planting; Pollinator garden; Riparian planting,Full sun; Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist,Best in neutral to slightly acid soil that is constantly moist.  Good for bog areas or wetlands.
2299,Marshall's Delight Bee Balm,Monarda didyma,36 in,24 in,Upright,Mid-summer,Aromatic foliage;  pink flowers,Pink,Attract wildlife;      Border;      Boulevard planting;      Fragrance;      Natural planting;      Pollinator garden;     Edible;     Attract hummingbirds,Full sun,"3, 4, 5, 6, 7, 8, 9",Prefers evenly-moist,Abundant flowers throughout summer. Aromatic leaves are good for making tea.
2419,Martha Washington Geranium,Pelargonium x domesticum,18 in,12 in,Upright;     Mound,Early summer;     Mid-summer;     Late summer,Large velvety blooms.,Red;  White;  Pink;  Purple,Border;     Container,Full sun,Annual, ,Thrive in areas with cool summers.
624,Mary Potter Crabapple,Malus,15 ft,20 ft, ,Fall;      Spring;      Summer,Spring red buds opening to white flowers followed by red fruit that persists through fall.,White,Attract wildlife;      Boulevard planting;      Pollinator garden,Full sun,"4, 5, 6, 7",Prefers acidic;      Prefers well-drained,Good for pollinators. Blooms on old wood.
1605,Mary Stoker Korean Mum,Chrysanthemum x rubellum,24 in,30 in,Mound,Late summer; Early fall, ,Yellow,Border,Full sun,"4, 5, 6, 7, 8",Adaptable, 
1876,Mary Todd Daylily,Hemerocallis,26 in,30 in,Upright;     Mound,Early summer;      Mid-summer, ,Yellow,Border;      Boulevard planting,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9",Adaptable,Divide in Late summer or fall.
102,Massachusetts Bearberry,Arctostaphylos uva-ursi,6 in,48 in,Creeping; Prostrate,Spring; Fall,Spring pink/white flowers. Fall scarlet fruit. Bronze foliage.,Pink; White,Ground cover; Native; Natural planting; Rock garden; Xeriscaping,Full sun,"3, 4, 5, 6",Prefers acidic; Tolerates dry,1999 Cary Award Winner.
2869,Massachusetts Bearberry,Arctostaphylos uva-ursi,1 ft,8 ft, , ,Spring; Summer; Fall; Winter; Year-round,Pink; White,Attract wildlife; Erosion control; Riparian planting; Rock garden,Full sun; Part shade,"3, 4, 5",Prefers acidic; Prefers dry; Prefers well-drained; Tolerates dry; Tolerates poor; Tolerates sandy soil,Dark green to purplish leaves throughout the year. White to pink flowers late April/May.
1503,Masterwort,Astrantia carniolica,18 in,12 in,Upright,Mid-summer;      Late summer;      Early fall, ,Burgundy,Border;      Cutting,Part sun;      Part shade;      Full shade,"4, 5, 6, 7, 8",Prefers evenly-moist,Strawberry-shaped buds open to starry pincushion-like flowers.
2642,Matrona Sedum,Sedum,18 in,18 in,Upright,Early fall;      Late summer,Blue-gray succulent-like foliage with red stems. Star-shaped flowers grow in large;  flat clusters.,Pink,Border;      Boulevard planting;      Pollinator garden,Full sun;      Part sun,"4, 5, 6, 7, 8",Adaptable;      Tolerates dry,Blooms slightly earlier than Autumn Joy cultivar
1822,Max Frei Geranium,Geranium sanguineum,15 in,18 in,Mound,Early summer; Mid-summer; Late summer,Green;  heavily lobed foliage forms loose mound. Purple-pink flowers form on stalks above foliage in early-mid summer. Some varieties have red-tinged fall foliage.,Pink; Purple,Border; Pollinator garden,Full sun; Part sun,"3, 4, 5, 6, 7, 8",Prefers evenly-moist; Prefers well-drained,Good border and edging plant. Good for pollinators.
835,May Day tree,Prunus padus var. commutata,15 ft,20 ft,Rounded, ,Flowers in slender drooping clusters - dark green foliage yellow to red in fall. Fruit is extremely bitter (inedible) but attractive to birds.,White,Attract wildlife;  Pollinator garden,Full sun,"3, 4, 5, 6", ,Good for pollinators.
2615,May Night Meadow Sage,Salvia x sylvestris,18 in,24 in,Upright;     Clump,Late summer;      Mid-summer,Deep purple spikes,Purple,Border;      Pollinator garden,Full sun,"4, 5, 6, 7, 8",Adaptable,1997 Perennial Plant of the YearDeadhead to encourage full season blooming. Good for pollinators.
2604,May Night Salvia,Salvia nemorosa,24 in,18 in,Upright,Early summer;      Late summer;      Mid-summer,Dense violet-blue flower spikes are held above dark green lanceolate leaves., ,Border;      Pollinator garden;      Rock garden,Full sun,"3, 4, 5, 6, 7, 8", ,Perennial Plant of the Year for 1997.  Can repeat bloom in late summer. Trim to keep neat. Tolerant of drought conditions. Good for pollinators.
2523,Mayapple,Podophyllum peltatum,18 in,12 in,Upright,Early spring; Mid-spring; Late spring; Early summer,"Showy 6-9 petaled 3"" white flowers in early spring are hidden under 1-2 large glossy;  umbrella-like green foliage. Leaves are deeply divided and palmately lobed. Plants with one leaf do not flower. CAUTION: Leave and roots are poisonous.",White,Backdrop; Cutting; Edible landscape; Native; Natural planting; Shade garden; Woodland garden,Full shade; Part shade; Part sun,"3, 4, 5, 6, 7, 8",Tolerates dry,Edible fruit turns golden when ripe and can be made into preserves and jellies. CAUTION: Leaves and roots are poisonous. (Source: Missouri Botanical Garden Plant Finder
1956,Mayflower,Hepatica americana,4 in,5 in,Mound,Early spring,White or lavendar flowers. Leaves are large and leathery with big scallops.,Lavendar; White,Natural planting;     Woodland garden,Full Shade;     Part shade,"3, 4, 5, 6, 7, 8", ,Early spring bloomer with distictive leathery leaves that are dark green and turn bronze as they age.
578,McIntosh Apple,Malus,15 ft,15 ft, ,Spring; Fall,Bright red apple with sprightly flavor and medium storage life - good for eating and baking - needs another apple besides Fireside as pollinator.,White,Edible landscape; Fruit; Pollinator garden,Full sun,"4, 5, 6, 7",Prefers acidic; Prefers well-drained,(Fameuse x Detroit Red) Ontario  1870. Fruit tends to drop when ripe. Good for pollinators. Blooms on old wood.
1410,McKana Hybrids Columbine,Aquilegia McKana Hybrids,30 in,15 in,Upright;     Clump,Early summer;      Late spring;      Mid-spring,Long-spurred;  mixed flower colors mid to late spring. Lacy foliage.,Blue;  Lavender;  Pink;  Red;  White;  Yellow,Border;      Natural planting,Full sun;      Part sun,"3, 4, 5, 6, 7, 8, 9, 10",Prefers high organic matter,Tall and upright with long spurred flowers in assorted bright colors with a contrasting colored center.
